City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hilo,1,US,6/13/18 5:56 PM,73,19.71,-155.08,75.2,15.68
1,broome,0,GB,6/13/18 6:20 PM,63,52.47,1.45,69.8,13.87
2,mataura,12,NZ,6/13/18 6:51 PM,83,-46.19,168.86,25.63,3.49
3,busselton,76,AU,6/13/18 6:51 PM,100,-33.64,115.35,60.1,7.52
4,le vauclin,75,MQ,6/13/18 6:30 PM,62,14.55,-60.84,86,20.8
5,peniche,20,PT,6/13/18 6:30 PM,72,39.36,-9.38,64.4,19.46
6,ilulissat,75,GL,6/13/18 5:50 PM,80,69.22,-51.1,35.6,4.7
7,bambous virieux,75,MU,6/13/18 6:00 PM,69,-20.34,57.76,75.2,16.11
8,sawtell,0,AU,6/13/18 6:30 PM,100,-30.38,153.1,44.6,5.82
9,shiyan,44,CN,6/13/18 6:57 PM,89,32.65,110.78,69.37,1.7
10,hofn,90,IS,6/13/18 6:10 PM,93,64.25,-15.21,50,6.93
11,ushuaia,0,AR,6/13/18 6:00 PM,100,-54.81,-68.31,42.8,4.7
12,cape town,0,ZA,6/13/18 6:00 PM,30,-33.93,18.42,68,16.11
13,saint george,20,GR,6/13/18 5:50 PM,69,39.45,22.34,77,6.93
14,hobart,20,AU,6/13/18 6:30 PM,81,-42.88,147.33,42.8,5.82
15,sao joao da barra,0,BR,6/13/18 6:00 PM,51,-21.64,-41.05,86,9.17
16,mahebourg,75,MU,6/13/18 6:00 PM,69,-20.41,57.7,75.2,16.11
17,rikitea,12,PF,6/13/18 6:51 PM,100,-23.12,-134.97,71.98,10.2
18,albany,90,US,6/13/18 5:55 PM,73,42.65,-73.75,69.8,10.29
19,qasigiannguit,75,GL,6/13/18 5:50 PM,80,68.82,-51.19,35.6,4.7
20,norman wells,90,CA,6/13/18 6:00 PM,75,65.28,-126.83,44.6,6.93
21,hermanus,0,ZA,6/13/18 6:51 PM,28,-34.42,19.24,74.23,9.98
22,bethel,1,US,6/13/18 5:53 PM,62,60.79,-161.76,53.6,8.05
23,storforshei,0,NO,6/13/18 6:20 PM,57,66.4,14.52,50,4.7
24,sorland,20,NO,6/13/18 5:50 PM,100,67.67,12.69,48.2,4.7
25,bluff,64,AU,6/13/18 6:51 PM,86,-23.58,149.07,59.11,2.15
26,kitwe,0,ZM,6/13/18 6:58 PM,52,-12.81,28.21,60.01,6.62
27,avarua,40,CK,6/13/18 6:00 PM,60,-21.21,-159.78,73.4,9.17
28,port elizabeth,75,US,6/13/18 5:55 PM,69,39.31,-74.98,80.6,8.05
29,ponta do sol,44,BR,6/13/18 6:51 PM,58,-20.63,-46,80.71,4.27
30,butaritari,56,KI,6/13/18 6:51 PM,100,3.07,172.79,80.8,6.4
31,castro,0,CL,6/13/18 6:51 PM,84,-42.48,-73.76,46.42,3.71
32,kapaa,40,US,6/13/18 5:56 PM,78,22.08,-159.32,78.8,14.99
33,upernavik,92,GL,6/13/18 6:51 PM,100,72.79,-56.15,30.22,2.82
34,airai,80,TL,6/13/18 6:52 PM,95,-8.93,125.41,68.02,1.92
35,tuktoyaktuk,20,CA,6/13/18 6:00 PM,53,69.44,-133.03,51.8,9.17
36,verkhnyaya inta,64,RU,6/13/18 6:58 PM,55,65.99,60.32,54.79,6.4
37,naze,68,NG,6/13/18 6:52 PM,94,5.43,7.07,76.75,5.61
38,paamiut,88,GL,6/13/18 6:53 PM,100,61.99,-49.67,35.8,11.99
